LG+FC+BU{0.873916}, partition_407 = 211559-212185
JTT-DCMUT+FC+BU{1.540565}, partition_408 = 212186-212516
JTT+FC+BU{0.663922}, partition_409 = 212517-213346
JTT+FC+BU{0.821058}, partition_410 = 213347-213687
LG+FC+BU{0.997843}, partition_411 = 213688-213931
JTT+FC+BU{1.874400}, partition_412 = 213932-214442
JTT+FC+BU{0.318942}, partition_413 = 214443-215266
JTT+FC+BU{2.611876}, partition_414 = 215267-215762
JTT-DCMUT+FC+BU{0.843126}, partition_415 = 215763-216354
JTT+FC+BU{0.524325}, partition_416 = 216355-217104
JTT+FC+BU{1.007505}, partition_417 = 217105-217680
MTZOA+FC+BU{0.229505}, partition_418 = 217681-218653
MTREV+FC+BU{0.716301}, partition_419 = 218654-219137
JTT+FC+BU{0.615076}, partition_420 = 219138-219776
JTT+BU{1.641955}, partition_421 = 219777-220270
JTT-DCMUT+FC+BU{1.371030}, partition_422 = 220271-220605
LG+FC+BU{0.824490}, partition_423 = 220606-221036
JTT+FC+BU{0.508173}, partition_424 = 221037-221527
JTT+FC+BU{0.576399}, partition_425 = 221528-222348
LG+FC+BU{1.923204}, partition_426 = 222349-222598
JTT+FC+BU{1.268726}, partition_427 = 222599-223228
LG+FC+BU{0.549301}, partition_428 = 223229-223563
JTT+FC+BU{0.843285}, partition_429 = 223564-224390
LG+FC+BU{1.562996}, partition_430 = 224391-224677
JTT+FC+BU{0.456060}, partition_431 = 224678-225011
HIVB+FC+BU{0.325335}, partition_432 = 225012-225213
JTT+FC+BU{1.225149}, partition_433 = 225214-225759
JTT+FC+BU{0.883123}, partition_434 = 225760-226019
MTZOA+FC+BU{0.825038}, partition_435 = 226020-226280
JTT-DCMUT+FC+BU{1.492913}, partition_436 = 226281-226522
JTT+FC+BU{1.154946}, partition_437 = 226523-226829
JTT+FC+BU{0.743339}, partition_438 = 226830-227238
JTT-DCMUT+FC+BU{0.443906}, partition_439 = 227239-227531
JTT+FC+BU{0.796111}, partition_440 = 227532-227996
JTT+FC+BU{0.424190}, partition_441 = 227997-229031
JTT+FC+BU{1.536182}, partition_442 = 229032-229338
JTT-DCMUT+FC+BU{0.311226}, partition_443 = 229339-229741
LG+FC+BU{0.715362}, partition_444 = 229742-230175
LG+FC+BU{1.164337}, partition_445 = 230176-230737
JTT-DCMUT+FC+BU{1.229630}, partition_446 = 230738-231767
CPREV+FC+BU{1.588483}, partition_447 = 231768-232112
JTT+FC+BU{1.950203}, partition_448 = 232113-232396
JTT-DCMUT+FC+BU{1.689686}, partition_449 = 232397-232625
JTT+FC+BU{1.378688}, partition_450 = 232626-233034
JTT-DCMUT+FC+BU{1.206745}, partition_451 = 233035-233919
JTT+FC+BU{0.890333}, partition_452 = 233920-234630
JTT+FC+BU{0.908023}, partition_453 = 234631-234974
JTT-DCMUT+FC+BU{0.129957}, partition_454 = 234975-235352
JTT-DCMUT+FC+BU{1.388985}, partition_455 = 235353-235817
JTT-DCMUT+FC+BU{0.172626}, partition_456 = 235818-236176
JTT-DCMUT+FC+BU{1.629735}, partition_457 = 236177-236402
JTT+BU{1.415056}, partition_458 = 236403-237076
JTT-DCMUT+FC+BU{0.825584}, partition_459 = 237077-237454
JTT-DCMUT+BU{0.875078}, partition_460 = 237455-237900
JTT-DCMUT+BU{0.794075}, partition_461 = 237901-238652
LG+FC+BU{1.565477}, partition_462 = 238653-239095
JTT+FC+BU{0.869004}, partition_463 = 239096-239408
